"","part_id","hh_id","part_age","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","country","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","sday_id","type","day","month","year","dayofweek","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","hh_type","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age_group"
"454",5333,"Mo08HH5333",33,"M",1,2,5,16,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75826,NA,30,38,"M",1,0,0,0,0,0,2,2,2,"Single person household",16,7,2,4,3,0,0,9,7,"25-44"
"455",5334,"Mo08HH5334",21,"F",2,NA,6,18,NA,"OT","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75842,31,NA,NA,"F",1,0,0,0,0,0,5,2,1,"Single person household",13,2,1,0,4,0,6,NA,NA,"18-24"
"456",5335,"Mo08HH5335",44,"F",1,4,5,16,NA,"EU","",NA,NA,"","",NA,2,1,2,"United Kingdom",2,39,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75855,18,NA,NA,"F",1,0,0,0,0,0,1,1,1,"Two or more person household",16,6,3,3,3,1,0,9,7,"25-44"
"457",5336,"Mo08HH5336",40,"M",NA,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060421,1,21,4,2006,5,75871,NA,60,65,"F",1,0,0,0,0,0,2,2,4,"Single person household",10,1,2,3,3,1,0,2,8,"25-44"
"458",5337,"Mo08HH5337",18,"M",2,NA,6,18,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75881,NA,12,16,"M",0,0,0,0,1,0,1,2,1,"Two or more person household",15,5,1,4,3,2,0,8,7,NA
"459",5338,"Mo08HH5338",65,"F",3,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,65,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060425,1,25,4,2006,2,75896,NA,45,50,"F",0,0,0,0,0,1,5,2,1,"Two or more person household",21,1,15,0,0,0,6,5,16,"65 and over"
"460",5339,"Mo08HH5339",74,"M",3,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,70,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060425,1,25,4,2006,2,75917,NA,40,50,"F",0,0,0,0,0,1,2,2,3,"Two or more person household",8,2,0,0,0,0,6,NA,NA,"65 and over"
"461",5340,"Mo08HH5340",55,"M",1,1,5,16,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,19,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060425,1,25,4,2006,2,75925,NA,30,35,"M",0,1,0,0,0,0,3,2,1,"Two or more person household",18,2,12,0,4,0,0,1,17,"45-64"
"462",5341,"Mo08HH5341",46,"M",1,1,5,16,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,8,11,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060425,1,25,4,2006,2,75943,NA,35,40,"M",0,1,0,0,0,0,1,2,2,"Two or more person household",22,3,16,1,1,3,2,3,19,"45-64"
"463",5342,"Mo08HH5342",37,"M",1,2,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,40,37,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060425,1,25,4,2006,2,75965,7,NA,NA,"F",1,0,1,1,1,0,1,1,4,"Two or more person household",11,5,5,2,4,3,1,4,7,"25-44"
