"","hh_id","part_id","panel_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","frequency_multi","phys_contact","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","duration_multi","month","year","sday_id","dayofweek","day","wave","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age","part_gender","part_age_group","hh_type"
"79","HHA1_10099","A1_10099",10099,"A1_10099_001",NA,65,69,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,68,"F","65 and over",1
"80","HHA1_10100","A1_10100",10100,"A1_10100_001",NA,65,69,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,5,3,0,0,0,0,2,0,5,54,"F","45-64",1
"81","HHA1_10103","A1_10103",10103,"A1_10103_001",NA,55,64,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,62,"M","45-64",1
"82","HHA1_10104","A1_10104",10104,"A1_10104_001",NA,65,69,"M",1,1,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,4,4,0,0,0,0,0,4,0,66,"F","65 and over",1
"83","HHA1_10105","A1_10105",10105,"A1_10105_001",NA,70,74,"M",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,66,"F","65 and over",1
"84","HHA1_10107","A1_10107",10107,"A1_10107_001",NA,55,64,"F",2,2,1,0,0,0,0,0,1,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,0,1,54,"F","45-64",0
"85","HHA1_10108","A1_10108",10108,"A1_10108_001",NA,80,84,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,4,2,0,0,0,0,2,1,3,77,"F","65 and over",1
"86","HHA1_10109","A1_10109",10109,"A1_10109_001",NA,35,44,"M",1,2,1,0,0,0,0,0,2,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,0,1,65,"F","65 and over",0
"87","HHA1_10110","A1_10110",10110,"A1_10110_001",NA,55,64,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,61,"F","45-64",0
"88","HHA1_10111","A1_10111",10111,"A1_10111_001",NA,55,64,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,4,2,2,0,1,0,2,0,4,65,"F","65 and over",1
"89","HHA1_10112","A1_10112",10112,"A1_10112_001",NA,35,44,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,4,3,1,0,0,0,0,3,1,69,"M","65 and over",1
"90","HHA1_10114","A1_10114",10114,"A1_10114_001",NA,35,44,"M",1,1,1,0,0,0,0,0,3,3,2020,"2020.03.24",2,24,1,3,3,0,0,0,0,0,1,2,60,"F","45-64",1
"91","HHA1_10115","A1_10115",10115,"A1_10115_001",NA,75,79,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,3,1,0,0,0,0,2,1,2,63,"F","45-64",1
"92","HHA1_10117","A1_10117",10117,"A1_10117_001",NA,65,69,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,65,"F","65 and over",1
"93","HHA1_10118","A1_10118",10118,"A1_10118_001",NA,35,44,"F",1,1,1,0,0,0,0,1,5,3,2020,"2020.03.24",2,24,1,9,1,8,0,0,0,1,1,8,35,"M","25-44",1
"94","HHA1_10119","A1_10119",10119,"A1_10119_001",NA,55,64,"M",3,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,1,1,62,"F","45-64",1
"95","HHA1_10120","A1_10120",10120,"A1_10120_001",NA,45,54,"M",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,86,"F","65 and over",0
"96","HHA1_10121","A1_10121",10121,"A1_10121_001",NA,70,74,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,65,"F","65 and over",1
"97","HHA1_10122","A1_10122",10122,"A1_10122_001",NA,55,64,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,3,2,0,0,0,0,1,0,3,62,"M","45-64",1
"98","HHA1_10123","A1_10123",10123,"A1_10123_001",NA,65,69,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,66,"F","65 and over",1
"99","HHA1_10124","A1_10124",10124,"A1_10124_001",NA,65,69,"F",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,67,"F","65 and over",1
"100","HHA1_10125","A1_10125",10125,"A1_10125_001",NA,80,84,"F",3,2,0,0,0,0,0,1,4,3,2020,"2020.03.23",1,23,1,2,0,0,0,0,0,2,0,2,52,"M","45-64",0
"101","HHA1_10126","A1_10126",10126,"A1_10126_001",NA,85,120,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,3,1,0,0,0,0,2,0,3,62,"M","45-64",1
"102","HHA1_10127","A1_10127",10127,"A1_10127_001",NA,70,74,"M",5,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,73,"M","65 and over",1
"103","HHA1_10128","A1_10128",10128,"A1_10128_001",NA,65,69,"M",2,2,0,0,0,0,0,1,1,3,2020,"2020.03.23",1,23,1,1,0,0,0,0,0,1,0,1,64,"F","45-64",0
"104","HHA1_10129","A1_10129",10129,"A1_10129_001",NA,45,54,"F",4,2,1,0,0,0,0,0,3,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,74,"F","65 and over",0
"105","HHA1_10130","A1_10130",10130,"A1_10130_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,3,3,0,0,0,0,0,3,0,45,"F","45-64",1
"106","HHA1_10131","A1_10131",10131,"A1_10131_001",NA,65,69,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,4,1,0,0,0,0,3,0,4,70,"M","65 and over",1
"107","HHA1_10132","A1_10132",10132,"A1_10132_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,37,"F","25-44",1
"108","HHA1_10134","A1_10134",10134,"A1_10134_001",NA,35,44,"M",2,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,1,1,34,"F","25-44",1
"109","HHA1_10135","A1_10135",10135,"A1_10135_001",NA,65,69,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,1,0,35,"M","25-44",0
"110","HHA1_10136","A1_10136",10136,"A1_10136_001",NA,35,44,"F",5,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,46,"M","45-64",1
"111","HHA1_10137","A1_10137",10137,"A1_10137_001",NA,55,64,"M",NA,2,1,0,0,0,0,0,1,3,2020,"2020.03.23",1,23,1,3,3,0,0,0,0,0,0,3,63,"M","45-64",1
"112","HHA1_10138","A1_10138",10138,"A1_10138_001",NA,55,64,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,11,1,10,0,0,0,0,1,10,62,"F","45-64",1
"113","HHA1_10139","A1_10139",10139,"A1_10139_001",NA,35,44,"F",5,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,3,2,0,0,0,0,1,1,2,43,"M","25-44",1
"114","HHA1_10140","A1_10140",10140,"A1_10140_001",NA,55,64,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,1,0,50,"M","45-64",1
"115","HHA1_10141","A1_10141",10141,"A1_10141_001",NA,70,74,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,70,"F","65 and over",1
"116","HHA1_10142","A1_10142",10142,"A1_10142_001",NA,45,54,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,52,"M","45-64",1
"117","HHA1_10143","A1_10143",10143,"A1_10143_001",NA,45,54,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,8,2,6,0,0,0,0,0,8,49,"F","45-64",1
"118","HHA1_10144","A1_10144",10144,"A1_10144_001",NA,35,44,"M",1,2,1,0,0,0,0,0,3,3,2020,"2020.03.24",2,24,1,2,1,0,0,0,0,1,0,2,66,"F","65 and over",1
"119","HHA1_10145","A1_10145",10145,"A1_10145_001",NA,70,74,"M",1,2,1,0,0,0,0,0,3,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,54,"F","45-64",1
"120","HHA1_10146","A1_10146",10146,"A1_10146_001",NA,55,64,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,55,"F","45-64",0
"121","HHA1_10148","A1_10148",10148,"A1_10148_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,4,4,0,0,0,0,0,3,1,54,"M","45-64",1
"122","HHA1_10149","A1_10149",10149,"A1_10149_001",NA,55,64,"M",2,2,1,0,0,0,0,0,4,3,2020,"2020.03.23",1,23,1,5,2,3,0,0,0,0,1,4,58,"M","45-64",1
"123","HHA1_10150","A1_10150",10150,"A1_10150_001",NA,45,54,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,1,0,0,0,0,1,1,1,49,"F","45-64",1
"124","HHA1_10151","A1_10151",10151,"A1_10151_001",NA,70,74,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,71,"M","65 and over",1
"125","HHA1_10152","A1_10152",10152,"A1_10152_001",NA,65,69,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,66,"F","65 and over",1
